title,neighbor_title,rank,wasserstein2_distance
레벨업닥터 최기석,어느날 절친이 남자가 되어버렸다,5,0.4124792516231537
레벨업닥터 최기석,사랑을 피하여,6,0.4171959459781647
레벨업닥터 최기석,제자와 연인 사이,7,0.42239609360694885
레벨업닥터 최기석,신농사직설,8,0.42243635654449463
레벨업닥터 최기석,고삼무쌍,9,0.42463284730911255
레벨업닥터 최기석,엘리트 공주님의 수석지침서,10,0.43180519342422485
마이 러블리 투투,청소하실 레옹?,1,0.3093926012516022
마이 러블리 투투,오빠야 누나야,2,0.31257784366607666
마이 러블리 투투,사랑을 피하여,3,0.3355952203273773
마이 러블리 투투,레벨업닥터 최기석,4,0.33934086561203003
마이 러블리 투투,환생소녀,5,0.3439803421497345
마이 러블리 투투,내 최애가 위험해,6,0.34646928310394287
마이 러블리 투투,포근한 그 남자,7,0.3637394905090332
마이 러블리 투투,어느날 절친이 남자가 되어버렸다,8,0.3716354966163635
마이 러블리 투투,상아,9,0.3722640872001648
마이 러블리 투투,너에게 하고 싶은 말,10,0.3738226592540741
만인지상,이현세 극화시리즈,1,0.3503631055355072
만인지상,몽홀,2,0.3574775159358978
만인지상,야수,3,0.3583151400089264
만인지상,고삼무쌍,4,0.3767296373844147
만인지상,오세영 창작 극화 시리즈,5,0.4123578667640686
만인지상,강도하 청춘 시리즈,6,0.42806077003479004
만인지상,임꺽정 (완전판),7,0.42845508456230164
만인지상,신농사직설,8,0.43912070989608765
만인지상,연화,9,0.4463827610015869
만인지상,편지창조,10,0.44648149609565735
면사포를 쓰고픈 남자,청소하실 레옹?,1,0.465712308883667
면사포를 쓰고픈 남자,사랑을 피하여,2,0.478805273771286
면사포를 쓰고픈 남자,마이 러블리 투투,3,0.4869893789291382
면사포를 쓰고픈 남자,오빠야 누나야,4,0.4910348951816559
면사포를 쓰고픈 남자,포근한 그 남자,5,0.5034148693084717
면사포를 쓰고픈 남자,레벨업닥터 최기석,6,0.5055924654006958
면사포를 쓰고픈 남자,최면술사에겐 비밀보호 의무가 없다,7,0.5079930424690247
면사포를 쓰고픈 남자,어느날 절친이 남자가 되어버렸다,8,0.5196975469589233
면사포를 쓰고픈 남자,관계의 우로보로스,9,0.520072340965271
면사포를 쓰고픈 남자,너에게 하고 싶은 말,10,0.5363971590995789
몽홀,만인지상,1,0.3574775159358978
몽홀,오세영 창작 극화 시리즈,2,0.3929688632488251
몽홀,이현세 극화시리즈,3,0.3973000645637512
몽홀,강도하 청춘 시리즈,4,0.40902888774871826
몽홀,고삼무쌍,5,0.42455369234085083
몽홀,야수,6,0.4307830333709717
몽홀,신농사직설,7,0.47265860438346863
몽홀,40억 vs 1,8,0.4839797019958496
몽홀,임꺽정 (완전판),9,0.49160733819007874
몽홀,빨간자전거(인터넷연재판),10,0.4944877326488495
베이비 드래곤,내 최애가 위험해,1,0.5250459909439087
베이비 드래곤,엘리트 공주님의 수석지침서,2,0.5375592708587646
